gram_lexicon_id	type_id	gram	domain	identifier	descrip	lang_code
542	-1	2sgOb	relation	Ob	Object	WBP
543	-1	1subj	relation	subj	Subject	WBP
544	-1	2obj	relation	obj	Object	WBP
545	-1	1incSu	relation	Subj	Subject	WBP
546	-1	3SgO	relation	O	Object	WBP
547	-1	POSSs	relation	s	Subject	WBP
548	-1	SubjC	relation	Subj	Subject	WBP
549	-1	1sgOb	relation	Ob	Object	WBP
550	-1	3plOb	relation	Ob	Object	WBP
551	-1	1sgS	relation	S	Subject	WBP
552	-1	1sO	relation	O	Object	WBP
553	-1	3pO	relation	O	Object	WBP
554	-1	3sgSUBJ	relation	SUBJ	Subject	WBP
555	-1	3dlSUBJ	relation	SUBJ	Subject	WBP
556	-1	PC	tense	P	PastTense	AER
557	-1	TNS	tense	TNS	Tense	DBL
558	-1	DIST	tense	DIST	Distant_PastTense	JIG
559	-1	PA	tense	PA	PastTense	NIG
560	-1	NPAST	tense	NPAST	NonPastTense	WBP
561	-1	PresImpf	tense	Pres	PresentTense	WBP
562	-1	PastImpf	tense	Past	PastTense	WBP
563	-1	NP	tense	NP	NonPastTense	WBP
564	-1	PRESIMP	tense	PRES	PresentTense	WBP
565	-1	APM	voice	APM	AntipassiveVoice	DBL
566	-1	ANTI	voice	ANTI	AntipassiveVoice	DBL
567	-1	ANTIPASS	voice	ANTIPASS	AntipassiveVoice	DBL
568	-1	ACT	voice	ACT	ActiveVoice	GYD
569	-1	RECIP	voice	RECIP	ReciprocalMiddleVoice	GYD
570	-1	narr	voice	narr	Narrative_Voice	JIG
571	-1	RR	voice	RR	Reciprocal/ReflexiveMiddleVoice	NGK
572	-1	RECIP	voice	RECIP	ReciprocalMiddleVoice	THD
573	-1	REFLEX	voice	REFLEX	ReflexiveMiddleVoice	WBP
574	-1	cause	voice	cause	CausativeVoice	WBP
575	-1	APASS	voice	APASS	AntipassiveVoice	WBP
576	-1	RR	voice	RR	ReciprocalMiddleVoice	WBP
577	-1	AP	voice	AP	AntipassiveVoice	WRG
578	-1	INF	pos	INF	InfinitiveVerb	HBR
579	0	ANTIP	voice	ANTIP	AntipassiveVoice	
580	0	ART	pos	ART	Article	
581	0	CLF	classifier	CLF	Classifier	
582	0	COMPL	aspect	COMPL	CompletiveAspect	
583	0	DECL	modality	DECL	Declarative	
584	0	DEM	pos	DEM	Demonstrative	
585	0	DISTR	aspect	DISTR	DistributiveAspect	
586	0	1stIncl	person	1stIncl	FirstPersonInclusive	
587	0	1stExcl	person	1stExcl	FirstPersonExclusive	
588	0	INF	pos	INF	InfinitiveVerb	
589	0	IPFV	aspect	IPFV	ImperfectiveAspect	
590	0	LOC	case	LOC	LocativeCase	
591	0	PRED	pos	PRED	PredicativeVerb	
592	0	Passive	voice	Passive	PassiveVoice	
593	0	PROH	mood	PROH	ProhibitiveMood	
594	0	PROHIB	mood	PROHIB	ProhibitiveMood	
595	0	OBV	person	OBV	ObviativePerson	
596	0	PROX	person	PROX	ProximatePerson	
597	0	QUOT	modality	QUOT	Quotative	
598	0	SBJV	modality	SBJV	Subjunctive	
599	0	VOC	case	VOC	VocativeCase	
600	-1	1ms	person	1	FirstPerson	NID
601	-1	1ms	gender	m	Masculine	NID
602	-1	1ms	number	s	Singular	NID
603	-1	PASTNEG	tense	PAST	PastTense	MPC
604	-1	PASTNEG	polarity	NEG	Negative	MPC
605	-1	PNEG	polarity	NEG	Negative	MPC
606	-1	PNEG	tense	P	PastTense	MPC
607	-1	DYAD	classifier	DYAD	DyadicMorpheme	RMB
608	-1	DYAD	classifier	DYAD	DyadicMorpheme	NID
609	-1	DYAD	classifier	DYAD	DyadicMorpheme	RIT
610	-1	1aS	person	1	FirstPerson	DIF
611	-1	1aS	number	a	Plural	DIF
612	-1	1aS	relation	S	Subject	DIF
613	-1	2S	person	2	SecondPerson	GUE
614	-1	2S	number	S	Singular	GUE
615	-1	3MA	person	3	ThirdPerson	MPH
616	-1	3MA	gender	MA	Masculine	MPH
617	0	PAUCAL	number	PAUCAL	Paucal	
618	-1	1	person	1	FirstPerson	HUA
619	-1	1p	person	1	FirstPerson	HUA
620	-1	1p	number	PL	Plural	HUA
621	-1	1S	person	1	FirstPerson	HUA
622	-1	1S	number	SING	Singular	HUA
623	-1	1s	number	SING	Singular	HUA
624	-1	1s	person	1	FirstPerson	HUA
625	-1	2	person	2	SecondPerson	HUA
626	-1	2f	person	2	SecondPerson	HUA
627	-1	2f	gender	FEM	Feminine	HUA
628	-1	2fs	person	2	SecondPerson	HUA
629	-1	2fs	gender	FEM	Feminine	HUA
630	-1	2fs	number	SING	Singular	HUA
631	-1	2m	number	2	SecondPerson	HUA
632	-1	2m	gender	MASC	Masculine	HUA
633	-1	2ms	person	2	SecondPerson	HUA
634	-1	2ms	gender	MASC	Masculine	HUA
635	-1	2ms	number	SING	Singular	HUA
636	-1	2p	person	2	SecondPerson	HUA
637	-1	2p	number	PL	Plural	HUA
638	-1	2pl	person	2	SecondPerson	HUA
639	-1	2pl	number	PL	Plural	HUA
640	-1	2sf	person	2	SecondPerson	HUA
641	-1	2sf	number	SING	Singular	HUA
642	-1	2sf	gender	FEM	Feminine	HUA
643	-1	2sm	person	2	SecondPerson	HUA
644	-1	2sm	gender	MASC	Masculine	HUA
645	-1	2sm	number	SING	Singular	HUA
646	-1	3	person	3	ThirdPerson	HUA
647	-1	3fm	person	3	ThirdPerson	HUA
648	-1	3fm	number	SING	Singular	HUA
649	-1	3fm	gender	MASC	Masculine	HUA
650	-1	3fs	person	3	ThirdPerson	HUA
651	-1	3fs	gender	FEM	Feminine	HUA
652	-1	3fs	number	SING	Singular	HUA
653	-1	3ms	person	3	ThirdPerson	HUA
654	-1	3ms	gender	MASC	Masculine	HUA
655	-1	3ms	number	SING	Singular	HUA
656	-1	3p	person	3	ThirdPerson	HUA
657	-1	3p	number	PL	Plural	HUA
658	-1	3PCompl	person	3	ThirdPerson	HUA
659	-1	3PCompl	number	PL	Plural	HUA
660	-1	3PCompl	POS	COMP	ComplementMarker	HUA
661	-1	3pl	person	3	ThirdPerson	HUA
662	-1	3pl	number	PL	Plural	HUA
663	-1	3PRel	person	3	ThirdPerson	HUA
664	-1	3PRel	number	PL	Plural	HUA
665	-1	3PRel	POS	REL	RelativeMarker	HUA
666	-1	3sg	person	3	ThirdPerson	HUA
667	-1	3sg	number	SING	Singular	HUA
668	-1	3SM	person	3	ThirdPerson	HUA
669	-1	3SM	gender	MASC	Masculine	HUA
670	-1	3SM	number	SING	Singular	HUA
671	-1	3sm	person	3	ThirdPerson	HUA
672	-1	3sm	gender	MASC	Masculine	HUA
673	-1	3sm	number	SING	Singular	HUA
674	-1	3SMRel	person	3	ThirdPerson	HUA
675	-1	3SMRel	gender	MASC	Masculine	HUA
676	-1	3SMRel	number	SING	Singular	HUA
677	-1	3SMRel	POS	REL	RelativeMarker	HUA
678	-1	4	person	4	FourthPerson	HUA
679	-1	A	classifier	VERBA	AFormVerb	HUA
680	-1	aFOC	discourse	FOC	FocusMarker	HUA
681	-1	B	classifier	VERBB	BFormVerb	HUA
682	-1	C	classifier	VERBC	CFormVerb	HUA
683	-1	CMPL	aspect	COMPL	CompletiveAspect	HUA
684	-1	COMPL	POS	COMP	ComplementMarker	HUA
685	-1	Compl	POS	COMP	ComplementMarker	HUA
686	-1	Cont	aspect	CONT	ContinuousAspect	HUA
687	-1	cop	POS	COP	Copula	HUA
688	-1	D	classifier	VERBD	DFormVerb	HUA
689	-1	DA	POS	DA	DaForm	HUA
690	-1	DD	POS	DET	DefiniteDeterminer	HUA
691	-1	DEF	POS	DET	DefiniteDeterminer	HUA
692	-1	DEP	POS	DEP	Dependent	HUA
693	-1	DL	POS	DET	DefiniteDeterminer	HUA
694	-1	DN	POS	DN	DerivedNominal	HUA
695	-1	Dn	POS	DN	DerivedNominal	HUA
696	-1	DO	POS	DO	DirectObject	HUA
697	-1	DU	number	DUAL	Dual	HUA
698	-1	EVE	mood	EVE	Eventual	HUA
699	-1	EVID	POS	EVID	EvidentialityMarker	HUA
700	-1	f	gender	FEM	Feminine	HUA
701	-1	FM	discourse	FOC	FocusMarker	HUA
702	-1	Gr1	classifier	GR1	Grade1Verb	HUA
703	-1	Gr2	classifier	GR2	Grade2Verb	HUA
704	-1	Gr3	classifier	GR3	Grade3Verb	HUA
705	-1	Gr4	classifier	GR4	Grade4Verb	HUA
706	-1	Gr6	classifier	GR6	Grade6Verb	HUA
707	-1	Gr7	classifier	GR7	Grade7Verb	HUA
708	-1	Gr8	classifier	GR8	Grade8Verb	HUA
709	-1	ICP	POS	ICP	IntransitiveCopyPronoun	HUA
710	-1	IDEO	classifier	IDEO	Ideophone	HUA
711	-1	IMPER	mood	IMP	ImperativeMood	HUA
712	-1	IMPERF	aspect	IMPF	ImperfectiveAspect	HUA
713	-1	INF	classifier	INF	Infinitive	HUA
714	-1	IOM	POS	IOM	IndirectObjectMarker	HUA
715	-1	IPFV	aspect	IMPF	ImperfectiveAspect	HUA
716	-1	Irr	classifier	IRR	Irregular	HUA
717	-1	IVN	classifier	I	Classifier	HUA
718	-1	IVN	POS	VN	VerbalNoun	HUA
719	-1	IX	classifier	GR9	Grade9Verb	HUA
720	-1	m	gender	MASC	Masculine	HUA
721	-1	MA	POS	MA	MaForm	HUA
722	-1	MOD	classifier	MOD	Modal	HUA
723	-1	ms	gender	MASC	Masculine	HUA
724	-1	ms	number	SING	Singular	HUA
725	-1	N	POS	N	Noun	HUA
726	-1	Neg	polarity	NEG	Negative	HUA
727	-1	neg	polarity	NEG	Negative	HUA
728	-1	p	number	PL	Plural	HUA
729	-1	pf	aspect	PERF	PerfectiveAspect	HUA
730	-1	pl	number	PL	Plural	HUA
731	-1	POT	aspect	POT	PotentialAspect	HUA
732	-1	PST	aspect	PERF	PerfectiveAspect	HUA
733	-1	Q	POS	Q	QuestionMorpheme	HUA
734	-1	Rcnt	aspect	CONT	ContinuousAspect	HUA
735	-1	REDUP	POS	REDUP	Reduplication	HUA
736	-1	REFLEX	POS	REFLEX	Reflexive	HUA
737	-1	Rel	POS	REL	RelativeMarker	HUA
738	-1	REL	POS	REL	relativeMarker	HUA
739	-1	RI	POS	RI	RelativeImperfective	HUA
740	-1	RP	POS	RP	RelativePerfective	HUA
741	-1	Rpf	POS	RP	RelativePerfective	HUA
742	-1	S	number	SING	Singular	HUA
743	-1	s	number	SING	Singular	HUA
744	-1	sf	number	SING	Singular	HUA
745	-1	sf	gender	FEM	Feminine	HUA
746	-1	sg	number	SING	Singular	HUA
747	-1	SP	aspect	RP	RelativePerfective	HUA
748	-1	SUB	mood	SUB	SubjunctiveMood	HUA
749	-1	V	classifier	V	Classifier	HUA
750	-1	VI	classifier	VI	Classifier	HUA
751	-1	VII	classifier	VII	Classifier	HUA
752	-1	VIII	classifier	VIII	Classifier	HUA
753	-1	VN	POS	VN	VerbalNoun	HUA
754	-1	X	classifier	X	Classifier	HUA
